known_face_names,known_face_encodings
oddTech_19,"[-0.15628834  0.09828136  0.03705272 -0.0503557  -0.0374796  -0.02012187
  0.03542363 -0.07474867  0.22028862 -0.01920027  0.23536079 -0.00582951
 -0.24908346 -0.10677806  0.05702486  0.03801776 -0.09345616 -0.13826311
 -0.0713321  -0.01567597  0.09524655 -0.02224872  0.07512062  0.07196439
 -0.25355792 -0.32069072 -0.09862604 -0.16214387 -0.04663627 -0.16326599
 -0.01129145  0.01873252 -0.22711578 -0.08792313 -0.04887772  0.03839963
 -0.03874448 -0.1070089   0.18563505 -0.05361339 -0.20621873 -0.06478972
 -0.00431915  0.17693765  0.08991129 -0.05396646  0.07032211 -0.05349013
  0.06256928 -0.21455646  0.05682916  0.14874938  0.10468201  0.00605848
  0.07908545 -0.10205368  0.03316539  0.13154148 -0.21722768  0.10115117
  0.03946944 -0.02900591 -0.03241805  0.0233072   0.15646791  0.10957833
 -0.09483781 -0.10035168  0.1205041  -0.09474446  0.02600953  0.20435929
 -0.12626195 -0.33620319 -0.20933998  0.09728501  0.41590282  0.13051289
 -0.18499935 -0.00171625 -0.15729864 -0.04450953  0.00856395  0.03991669
 -0.10266617  0.07752272 -0.17540288  0.13963577  0.23446403  0.01921925
 -0.04546922  0.26824692  0.03714054 -0.00564506  0.03959737  0.07494994
 -0.06839913 -0.01453027 -0.07272876  0.00781598  0.14556518 -0.07086255
 -0.0690726   0.11504035 -0.14191456  0.08003814  0.0030994  -0.08565223
 -0.06190199 -0.04526533 -0.08524508 -0.06409492  0.10556967 -0.25147805
  0.10152352  0.12792732  0.01700033  0.12855673 -0.00224496  0.01171092
  0.02808058 -0.06793621 -0.13669378 -0.02264488  0.12701398  0.00063431
  0.08337787 -0.03164352]"
oddTech_2,"[-2.08388910e-01  1.06768474e-01  6.02717623e-02 -5.88117540e-02
 -4.55717184e-02  9.97569761e-04 -2.53606457e-02 -4.00798582e-02
  1.58114970e-01 -4.56175357e-02  2.51592696e-01 -1.78989284e-02
 -2.09672153e-01 -6.76500946e-02 -2.53309570e-02  1.37637705e-01
 -1.52909368e-01 -1.33288637e-01 -6.18644767e-02 -1.45443231e-01
 -8.15564990e-02 -8.14538077e-03  1.12925358e-02  6.73756599e-02
 -4.90962304e-02 -3.63768101e-01 -5.78791685e-02 -9.22108367e-02
  3.47710736e-02 -1.14974096e-01 -6.47707796e-03  2.70928908e-02
 -2.22347185e-01 -9.40953866e-02  5.52018080e-03  1.03421725e-01
  2.62962095e-02 -2.18076464e-02  2.06091106e-01 -4.58946228e-02
 -7.65349418e-02  5.41355181e-03  9.85975638e-02  3.40565324e-01
  1.17426179e-01  6.57270253e-02 -7.22383559e-02  4.81907465e-02
  7.51198605e-02 -1.81045815e-01  1.33580789e-01  9.64839607e-02
  1.23330057e-01 -7.49596301e-03  5.40728979e-02 -1.52408034e-01
 -3.32046598e-02  1.09666057e-01 -1.64725706e-01  7.72016943e-02
  3.55670520e-04 -7.77149200e-02 -6.97572604e-02 -6.47634566e-02
  2.94197142e-01  1.87475145e-01 -9.60902199e-02 -1.57964364e-01
  1.46909744e-01 -7.61929527e-02 -3.45016154e-03 -1.50033385e-02
 -9.81168374e-02 -1.07988261e-01 -2.39453331e-01  1.36760473e-01
  3.36852103e-01  1.02278985e-01 -2.13999063e-01  6.32869303e-02
 -6.24166094e-02 -6.64735734e-02  3.67308855e-02  6.55852482e-02
 -1.09381542e-01  2.21697446e-02 -1.06836408e-01  4.63236868e-03
  1.36431322e-01  9.24358070e-02 -1.12360425e-01  1.66009486e-01
 -5.74172437e-02  1.10082934e-03  6.72792122e-02  3.02483415e-04
 -1.35685742e-01 -3.29152793e-02 -2.09494010e-01 -8.20573717e-02
  7.91177228e-02 -4.82666008e-02 -3.01045198e-02  1.05376378e-01
 -1.66990012e-01  7.05854148e-02  1.28338318e-02  9.44403466e-03
  7.85507169e-03  1.19857013e-01 -1.07683145e-01 -8.74994174e-02
  1.41063884e-01 -2.37108603e-01  2.32296169e-01  1.17844827e-01
  2.89624613e-02  1.77126899e-01  1.34405121e-01  4.72167581e-02
  7.20150620e-02  4.77548875e-02 -1.09307423e-01 -8.73314142e-02
  7.00698867e-02 -2.34675612e-02  1.48512676e-01  1.10342726e-01]"
oddTech_20,"[-0.10834112  0.18803877  0.03224072 -0.04968369 -0.04915227 -0.01961526
 -0.07811425 -0.09918667  0.28022942 -0.12495944  0.24867488  0.05233218
 -0.1938668  -0.08052156 -0.1015868   0.0712836  -0.10058149 -0.12896451
 -0.10424662 -0.04546142  0.1013256   0.01389175  0.03506408  0.04021097
 -0.10231864 -0.33149287 -0.05976648 -0.11535903  0.06181019 -0.12462367
 -0.04150615  0.00920443 -0.2118362  -0.09580146 -0.03388432  0.02290885
 -0.0183786   0.03487655  0.16413519  0.02036702 -0.15484284  0.0746016
  0.01666544  0.26016498  0.15102234  0.08638413  0.05444876 -0.13508619
  0.10690077 -0.20233083  0.06709788  0.17329754  0.1107789   0.01093312
  0.13685791 -0.19379401 -0.00771652  0.04352681 -0.17575851  0.12412748
  0.08578829 -0.00355644 -0.09168299 -0.00848156  0.15927126  0.08354599
 -0.08360784 -0.13320091  0.13095509 -0.16503245  0.03905972  0.14213385
 -0.087929   -0.20562991 -0.21571678  0.07974722  0.48622194  0.21106169
 -0.11358681  0.04542314 -0.12707904 -0.04681734  0.00886736 -0.01634789
 -0.16495325  0.027296   -0.12874196  0.07179093  0.14626461  0.0603361
 -0.02207593  0.22170408  0.03081744  0.0126312  -0.01441425  0.02074563
 -0.18809862 -0.04419477 -0.14607984 -0.07808704 -0.00325519 -0.06421658
 -0.01922381  0.05444993 -0.15823084  0.07467577 -0.03830241 -0.0518475
 -0.05799777  0.10440317 -0.11108423 -0.06608178  0.10044282 -0.19453683
  0.15830776  0.13563362  0.12239137  0.14397195  0.12237421  0.04655487
  0.0243658  -0.01233025 -0.07421617 -0.10934823  0.00466759 -0.02371822
  0.10861449 -0.01189584]"
oddTech_3,"[-0.12294517  0.08541877  0.0384356  -0.04370961 -0.10619165  0.0253423
 -0.07859765 -0.01017222  0.08674943 -0.09873528  0.15111813 -0.0234287
 -0.21988569 -0.08300105  0.0773604   0.10013555 -0.16119303 -0.22664876
 -0.00624386 -0.13192053  0.00491756  0.03382723 -0.04476075  0.06238022
 -0.2040062  -0.37996763 -0.07879611 -0.10745526  0.07629958 -0.1146156
 -0.09509917  0.0811017  -0.15564606 -0.03250428  0.05554701  0.09561769
 -0.00136217 -0.01045736  0.17540295  0.02794548 -0.12782304  0.0479503
  0.07357833  0.32390463  0.22740163  0.03144732  0.00963272  0.01769831
  0.14721441 -0.29359579  0.12485459  0.17617017  0.09097077  0.10143238
  0.08794027 -0.14621155 -0.02229094  0.09115884 -0.21613139  0.12981524
  0.03085537 -0.08339297 -0.02838366 -0.04917884  0.1978026   0.10498187
 -0.11903681 -0.18487516  0.13316263 -0.18236211 -0.06778435  0.0889516
 -0.1205929  -0.11621312 -0.33860826  0.10234559  0.30090871  0.18020631
 -0.16962229  0.02622314 -0.00744961 -0.02760904  0.06744307  0.03161251
 -0.10596736 -0.05850073 -0.109992    0.06539173  0.20195399  0.08651904
 -0.08101887  0.18156894  0.02580513  0.08571686  0.0951675   0.17025211
 -0.12399723 -0.13850862 -0.17408535 -0.01995854  0.00062899 -0.07637414
 -0.05156095  0.192256   -0.13481469  0.17811812 -0.05963717 -0.01454611
 -0.12934099  0.0456788  -0.11224222  0.00429185  0.08746778 -0.27342463
  0.13470346  0.19415525  0.06496448  0.1104806   0.0559898  -0.06146381
 -0.03744062 -0.06963673 -0.15081133 -0.11832692  0.03184178 -0.01729232
  0.01946194  0.06553143]"
oddTech_4,"[-0.13590315  0.0409245   0.08386748 -0.01702945  0.01594946 -0.04622591
 -0.02560687 -0.07160036  0.25693092 -0.04922833  0.16972505  0.02030124
 -0.1244598  -0.10580667  0.01207609  0.10228854 -0.16258554 -0.11523652
 -0.01091884 -0.07627463 -0.02382354 -0.00894273  0.02326841  0.04102695
 -0.10545312 -0.35206217 -0.06844294 -0.17448097  0.05574539 -0.02370658
 -0.05974142  0.00852076 -0.19756597 -0.0864265   0.03893901  0.18924898
 -0.04007524 -0.01404776  0.19204845  0.03015052 -0.07425611 -0.05493329
 -0.01909915  0.27604747  0.16632783  0.07344876  0.00311453 -0.11055692
  0.14582023 -0.2069069   0.11741332  0.14104323  0.13759854  0.07010876
  0.12059775 -0.14056934  0.08704949  0.02076324 -0.25670883  0.07071964
  0.06345797  0.00637671 -0.02353533  0.01412742  0.26599741  0.14864618
 -0.06700162 -0.11816846  0.15952718 -0.13672811  0.00793811  0.05303881
 -0.08318245 -0.19194551 -0.24850717  0.04961156  0.45381659  0.17481072
 -0.19547969 -0.00059927 -0.16356322 -0.08668778  0.13535267  0.01712788
 -0.08946473  0.00588233 -0.11103278  0.01354078  0.16137505  0.01778737
 -0.04149083  0.1143776  -0.01045719  0.04087929 -0.00238179 -0.02734353
 -0.10911002  0.0844807  -0.16067238 -0.09429319  0.05847588 -0.0126002
  0.06381875  0.08544759 -0.21732253  0.11017679  0.05392206 -0.07586575
  0.02965211  0.04416512 -0.17930973 -0.06901443  0.17223378 -0.26863939
  0.22700323  0.13405649  0.02828808  0.17926005  0.02263743  0.09265362
 -0.01319733 -0.04241087 -0.11478589 -0.01065183 -0.01925344  0.04605389
  0.07691813  0.05923091]"
oddTech_5,"[-1.92472830e-01  7.96532258e-02  5.24314828e-02 -1.01621421e-02
 -6.94761276e-02 -2.09381953e-02  4.31396253e-02 -3.66939767e-03
  1.93162516e-01 -8.56375173e-02  2.13654056e-01  1.10540520e-02
 -2.53179461e-01 -1.08656272e-01 -3.65203060e-02  9.47038606e-02
 -6.91412091e-02 -1.42037690e-01 -8.46716389e-02 -1.22781493e-01
  1.11194029e-01  8.96128081e-03 -1.69257987e-02  2.66707037e-02
 -8.95543247e-02 -3.80537450e-01 -5.63984923e-02 -1.20576687e-01
  5.62699065e-02 -1.98252872e-01  3.71117927e-02 -1.60987768e-02
 -1.93689242e-01 -5.25271408e-02 -5.33752032e-02  1.29353806e-01
  3.64194252e-02 -2.04680152e-02  1.81516454e-01 -2.48622075e-02
 -1.58497155e-01 -2.27282755e-02  1.76317170e-02  2.76278734e-01
  8.26752037e-02 -1.17094559e-03  1.40801687e-02 -2.98675690e-02
  1.60669908e-01 -2.58482337e-01  4.11956497e-02  1.04646794e-01
  1.24903850e-01  3.89893353e-02  1.28802672e-01 -1.71027884e-01
  4.66742739e-02  1.08458765e-01 -2.39164248e-01  1.14706479e-01
  2.33539268e-02 -1.03424005e-01 -9.40558910e-02 -5.69149898e-03
  1.91748381e-01  6.37344271e-02 -1.25900030e-01 -1.43434778e-01
  1.26108602e-01 -1.56370834e-01  5.09721115e-02  1.32430002e-01
 -5.83102405e-02 -1.86081573e-01 -2.75748134e-01  1.46025643e-01
  5.07058144e-01  1.66459113e-01 -1.80406660e-01  6.39076829e-02
 -1.30120739e-01  4.53706691e-03  9.28454474e-02  4.65157703e-02
 -8.63919705e-02  6.27676025e-02 -2.02434674e-01  7.51404911e-02
  8.88643712e-02  5.57273999e-02 -6.42057732e-02  1.74217254e-01
 -1.55458911e-04  1.40542701e-01  1.53863775e-02  8.25772434e-02
 -1.64500192e-01 -2.27304362e-02 -6.30013719e-02 -4.19996819e-03
  8.25222880e-02 -1.08168125e-01 -1.06235426e-02  1.95328910e-02
 -1.11605279e-01  1.33145750e-01 -2.28100531e-02  1.70527566e-02
 -6.13783635e-02  4.70575616e-02 -9.50332657e-02  2.40180362e-02
  8.60070512e-02 -3.30027223e-01  2.04885840e-01  1.64449483e-01
 -4.15001288e-02  2.01238781e-01  9.44386274e-02  3.65582816e-02
  1.48974666e-02 -6.45971298e-02 -1.43619731e-01 -6.86495006e-02
 -3.13324505e-03 -2.92465854e-02  5.84360808e-02  1.12359542e-02]"
oddTech_6,"[-1.79719761e-01  8.73371586e-02  4.16230485e-02 -5.27181700e-02
 -1.86084770e-02  3.89938839e-02 -4.61349636e-02 -8.25802088e-02
  1.88005373e-01 -9.76403207e-02  2.05369532e-01  1.76615715e-02
 -1.77870989e-01  1.14500719e-04  1.97356511e-02  1.38894469e-01
 -1.91632584e-01 -1.90831810e-01 -6.63590655e-02 -1.07308611e-01
  2.26634946e-02  6.24382682e-02 -1.39930174e-02  3.65824401e-02
 -1.97507516e-01 -3.06606203e-01 -4.55340147e-02 -1.27787381e-01
  1.64636355e-02 -1.16528690e-01  3.50295082e-02  7.09487591e-03
 -1.85365841e-01  6.80740699e-02  5.67462444e-02  9.13009495e-02
  6.87659765e-03  7.96830934e-03  1.95685416e-01  1.45958392e-02
 -1.12960212e-01  2.99071427e-02  4.89897616e-02  2.27569461e-01
  1.47737250e-01  5.44640236e-02 -7.13694375e-03 -9.27866474e-02
  7.09305555e-02 -2.42519945e-01  7.14891329e-02  1.43979996e-01
  7.60023743e-02  9.61574465e-02  7.17848018e-02 -1.76805511e-01
 -2.91852467e-02  5.41879646e-02 -1.52955532e-01  1.30951807e-01
  2.39649490e-02 -2.45792065e-02 -4.41915914e-02 -1.31217204e-02
  2.63220847e-01  1.37819141e-01 -1.74954027e-01 -1.22760601e-01
  1.18866034e-01 -1.00537568e-01 -9.62962061e-02  3.39538269e-02
 -1.08081691e-01 -1.86096951e-01 -2.22836807e-01  6.66958019e-02
  4.30308908e-01  8.00602138e-02 -2.46740177e-01  3.39123160e-02
 -2.91800592e-02 -5.25777079e-02  3.44011933e-02  9.62042138e-02
 -1.20842606e-01 -4.52239551e-02 -2.95666121e-02  6.68022782e-02
  2.34513462e-01  6.75200745e-02 -6.49864152e-02  1.66557059e-01
 -4.79589961e-02  7.61846900e-02  8.16999376e-03  6.72168136e-02
 -6.98186681e-02 -5.03132604e-02 -9.89283919e-02 -6.93228245e-02
 -1.12357605e-02  3.83246597e-03 -2.43201274e-02  1.46820128e-01
 -1.29744187e-01  1.96750402e-01 -5.81412530e-03 -5.30447364e-02
 -4.85279225e-02  1.67139888e-01 -8.76598805e-02 -1.39971953e-02
  1.13368511e-01 -2.51798987e-01  2.73912638e-01  1.75640389e-01
  2.61719991e-02  1.39756694e-01  4.17072475e-02  7.32381493e-02
  3.59180532e-02  1.07861266e-01 -1.47680894e-01 -8.67606252e-02
  2.20575109e-02 -2.38815639e-02  7.22669512e-02  4.53680269e-02]"
oddTech_7,"[-0.15174764  0.09460627  0.0855599  -0.07508278 -0.19251858 -0.01021069
 -0.0662741  -0.04264893  0.14312021 -0.13949436  0.16151172 -0.06048914
 -0.15981962  0.13535105  0.03555899  0.1680592  -0.14764123 -0.15857594
 -0.0857143  -0.088496    0.01809517  0.08034735 -0.04105258  0.07365296
 -0.15455195 -0.34629133 -0.0612393  -0.06419406  0.007534   -0.03500419
 -0.01078402  0.06800552 -0.09349927  0.03235732  0.09268404  0.11836481
 -0.03261041 -0.10321016  0.2371795  -0.04477226 -0.26740244 -0.02012099
  0.14523886  0.24091837  0.14606637  0.0659088   0.01563987 -0.04369786
  0.10241172 -0.27168599  0.05091956  0.15656553  0.00903469  0.06250791
  0.12579222 -0.16080202  0.00690668  0.11871215 -0.12543058  0.00564239
  0.05216791 -0.09914802  0.01615061 -0.13389005  0.29426703  0.13457942
 -0.10813728 -0.10863495  0.13382216 -0.1398046  -0.14107996  0.0466264
 -0.13186911 -0.17583267 -0.2657412   0.00245542  0.34356469  0.17964517
 -0.15117523  0.06878927  0.03210524 -0.02346299  0.09640616  0.14289208
 -0.04520709 -0.02618094 -0.05881409  0.04243257  0.28578702 -0.0403568
  0.01486525  0.20476928  0.01858866  0.01007399 -0.02852029  0.06183121
 -0.11341507 -0.0573033  -0.15079799 -0.03591675  0.09259088  0.06244003
  0.00096932  0.18639898 -0.24779886  0.09120663 -0.06952278 -0.05496596
 -0.04253653  0.04400647 -0.05318337 -0.03965313  0.13858248 -0.19687295
  0.12172963  0.17888397 -0.03533356  0.14764728  0.09177059  0.01235958
  0.03878956 -0.02695122 -0.20807426 -0.0799253   0.1000691  -0.0038319
  0.03004408  0.0743724 ]"
oddTech_8,"[-1.10496148e-01  9.08765495e-02  4.70820814e-02 -3.85615900e-02
 -2.77969707e-02  2.93135401e-02 -5.83792850e-02 -4.35115136e-02
  1.58563510e-01 -9.99672040e-02  1.97005168e-01 -4.60517108e-02
 -1.79930359e-01 -3.09432670e-03 -2.08222233e-02  1.05016001e-01
 -1.50858834e-01 -5.50139025e-02 -3.42955478e-02 -1.36054354e-02
  6.58517554e-02  7.44159101e-03 -5.35774324e-03  6.83063194e-02
 -1.74600810e-01 -3.66721779e-01 -8.16467777e-02 -1.15791425e-01
 -1.63316019e-02 -1.21708959e-01 -5.11032157e-02  4.38073725e-02
 -1.17056049e-01  3.01240552e-02 -1.99465360e-02  1.27722800e-01
 -3.20598036e-02 -3.62785496e-02  1.53869584e-01  1.71114653e-02
 -1.44123122e-01 -2.28336547e-02  4.28054370e-02  2.45882913e-01
  1.15303449e-01  9.30823311e-02  1.92808025e-02 -1.05394684e-01
  1.01409927e-01 -2.03072861e-01  1.08765475e-01  1.09059997e-01
  4.33716252e-02  1.36060372e-01  4.83950526e-02 -1.37983754e-01
  5.73328547e-02  2.75211632e-02 -1.50710121e-01  7.41505548e-02
  4.48728651e-02 -4.43168916e-02 -9.28063039e-03 -7.01975822e-03
  2.36166745e-01  1.23003840e-01 -1.08301036e-01 -9.69798937e-02
  5.31528667e-02 -1.43059388e-01 -5.43452315e-02  6.68417141e-02
 -8.75096843e-02 -2.18620062e-01 -2.22436741e-01  8.70765373e-02
  4.06401575e-01  2.10032389e-01 -1.71904504e-01  3.46189202e-03
 -8.35600197e-02 -1.12825878e-01  1.40639290e-01  1.11285433e-01
 -7.41901323e-02  1.39874564e-02 -9.18173492e-02  9.60958004e-02
  2.19140023e-01 -1.65360775e-02 -2.20346302e-02  2.06430390e-01
  1.18917483e-03  8.22712407e-02 -2.45906059e-02  4.03766669e-02
 -1.45158768e-01  6.26202449e-02 -8.26623589e-02 -7.93665200e-02
  1.40905604e-01 -1.07936603e-05  1.20007573e-03  9.87336785e-02
 -1.93802446e-01  1.90071940e-01  2.29801629e-02 -3.81423607e-02
  8.68249610e-02  5.85709624e-02 -1.49296150e-01 -6.24615662e-02
  1.53926358e-01 -2.18592912e-01  1.45878851e-01  1.38551608e-01
  9.25968662e-02  1.54494151e-01  1.14615478e-01  1.01762772e-01
  2.50146221e-02 -3.15163210e-02 -1.70436442e-01  9.17735044e-03
  1.03502244e-01  3.57472263e-02  7.55969808e-02 -3.12899181e-04]"
oddTech_9,"[-0.09990621  0.07410782  0.0558452  -0.05336596 -0.08181159  0.03680091
 -0.05865745  0.01662394  0.15850398 -0.11732499  0.2006699  -0.02689326
 -0.18054008 -0.01955585 -0.02707371  0.1154427  -0.05312525 -0.11750052
 -0.08771646 -0.09772619 -0.04612815  0.05510284  0.01783462  0.00791593
 -0.17286436 -0.36117247 -0.05539283 -0.11548325  0.07706581 -0.14044058
 -0.08830283  0.07537705 -0.13808686 -0.03217417  0.05467573  0.16012926
 -0.02558795 -0.01236651  0.17777617  0.02036199 -0.12648381  0.02215027
  0.05496899  0.32185203  0.1490708   0.07657121  0.02992086 -0.08998704
  0.09976817 -0.20768592  0.17299885  0.1019709   0.09472951  0.04360389
  0.16278538 -0.09269004  0.01846679  0.04743844 -0.1163526   0.06763609
  0.06277918  0.04282494 -0.06074226 -0.10051721  0.2268711   0.05495092
 -0.08819262 -0.09886443  0.11437701 -0.16363533 -0.01981647  0.06289439
 -0.07640526 -0.14367723 -0.22013214  0.09707546  0.37049824  0.24651481
 -0.18047778  0.10108565  0.00155311 -0.10502657  0.0978367   0.08406854
 -0.10713653  0.0413333  -0.05008204  0.06986805  0.2051274  -0.00306757
 -0.00865006  0.14233713 -0.00114849  0.03560704  0.02592498 -0.0254244
 -0.16872007 -0.03853074 -0.13640575 -0.09434444  0.09793709 -0.03100343
 -0.0167723   0.11395592 -0.18515208  0.15326633 -0.0447497  -0.05244744
  0.06405155  0.09174374 -0.09537353 -0.08919305  0.15139291 -0.21286333
  0.09428734  0.12730898  0.0325095   0.11614     0.15246721  0.07632237
  0.05970548  0.0562613  -0.15227835 -0.0765232   0.05555015 -0.04402579
  0.07596235  0.03061935]"
